Asset,Entity ID,First light entity ID,First internal region ID,Gaze flag,Flame FXR,Socket,Original offset,New offset
AEG023_862_2022,18004100,18004200,11100,1055422960,None,201,3,61
AEG023_862_2023,18004101,18004205,11105,1055422960,None,201,3,61
AEG004_692_2012,18004102,18004210,11110,1055422960,7506110,200,50,61
AEG004_692_2013,18004103,18004215,11115,1055422960,7506110,200,50,61
AEG023_875_2047,18004104,18004220,11120,1055422960,7506110,200,50,61
AEG023_875_2051,18004105,18004225,11125,1055422960,7506110,200,50,61
AEG023_875_2048,18004106,18004230,11130,1055422960,7506110,200,50,61
AEG020_992_2133,18004107,18004235,11135,1055422960,7506110,200,50,61
AEG023_875_2050,18004108,18004240,11140,1055422960,7506110,200,50,61
AEG020_992_2130,18004109,18004245,11145,1055422960,7506110,200,50,61
AEG023_875_2049,18004110,18004250,11150,1055422960,7506110,200,50,61
AEG023_875_2043,18004111,18004255,11155,1055422960,7506110,200,50,61
AEG023_875_2052,18004112,18004260,11160,1055422960,7506110,200,50,61
AEG020_992_2132,18004113,18004265,11165,1055422960,7506110,200,50,61
AEG020_992_2134,18004114,18004270,11170,1055422960,7506110,200,50,61
AEG023_875_2044,18004115,18004275,11175,1055422960,7506110,200,50,61
AEG023_875_2053,18004116,18004280,11180,1055422960,7506110,200,50,61
AEG023_875_2038,18004117,18004285,11185,1055422960,7506110,200,50,61
AEG023_875_2045,18004118,18004290,11190,1055422960,7506110,200,50,61
AEG020_992_2131,18004119,18004295,11195,1055422960,7506110,200,50,61
AEG020_992_2129,18004120,18004300,11200,1055422960,7506110,200,50,61
AEG023_875_2054,18004121,18004305,11205,1055422961,7506110,200,50,61
AEG023_875_2046,18004122,18004310,11210,1055422961,7506110,200,50,61
AEG023_875_2055,18004123,18004315,11215,1055422961,7506110,200,50,61
AEG020_992_2128,18004124,18004320,11220,1055422961,7506110,200,50,61
AEG020_992_2126,18004125,18004325,11225,1055422961,7506110,200,50,61
AEG020_992_2127,18004126,18004330,11230,1055422961,7506110,200,50,61
AEG023_875_2042,18004127,18004335,11235,1055422961,7506110,200,50,61
AEG023_875_2037,18004128,18004340,11240,1055422961,7506110,200,50,61
AEG020_992_2122,18004129,18004345,11245,1055422961,7506110,200,50,61
AEG020_992_2121,18004130,18004350,11250,1055422961,7506110,200,50,61
AEG023_875_2041,18004131,18004355,11255,1055422961,7506110,200,50,61
AEG020_992_2125,18004132,18004360,11260,1055422961,7506110,200,50,61
AEG023_875_2036,18004133,18004365,11265,1055422961,7506110,200,50,61
AEG020_992_2123,18004134,18004370,11270,1055422961,7506110,200,50,61
AEG020_992_2124,18004135,18004375,11275,1055422961,7506110,200,50,61
AEG023_875_2040,18004136,18004380,11280,1055422961,7506110,200,50,61
AEG023_875_2035,18004137,18004385,11285,1055422961,7506110,200,50,61
AEG023_875_2039,18004138,18004390,11290,1055422961,7506110,200,50,61
AEG023_875_2034,18004139,18004395,11295,1055422961,7506110,200,50,61
AEG023_875_2028,18004140,18004400,11300,1055422961,7506110,200,50,61
AEG023_875_2029,18004141,18004405,11305,1055422961,7506110,200,50,61
AEG023_875_2025,18004142,18004410,11310,1055422962,7506110,200,50,61
AEG023_875_2026,18004143,18004415,11315,1055422962,7506110,200,50,61
AEG023_875_2032,18004144,18004420,11320,1055422962,7506110,200,50,61
AEG023_875_2030,18004145,18004425,11325,1055422962,7506110,200,50,61
AEG023_875_2027,18004146,18004430,11330,1055422962,7506110,200,50,61
AEG023_875_2031,18004147,18004435,11335,1055422962,7506110,200,50,61
AEG023_875_2033,18004148,18004440,11340,1055422962,7506110,200,50,61
AEG020_992_2117,18004149,18004445,11345,1055422962,7506110,200,50,61
AEG020_992_2118,18004150,18004450,11350,1055422962,7506110,200,50,61
AEG020_992_2119,18004151,18004455,11355,1055422962,7506110,200,50,61
AEG020_992_2120,18004152,18004460,11360,1055422962,7506110,200,50,61
AEG023_862_2018,18004153,18004465,11365,1055422962,None,201,3,61
AEG023_862_2020,18004154,18004470,11370,1055422962,None,201,3,61
AEG023_862_2019,18004155,18004475,11375,1055422962,None,201,3,61
AEG023_862_2021,18004156,18004480,11380,1055422962,None,201,3,61
AEG020_992_2114,18004157,18004485,11385,1055422962,7506110,200,50,61
AEG023_875_2022,18004158,18004490,11390,1055422962,7506110,200,50,61
AEG023_875_2019,18004159,18004495,11395,1055422962,7506110,200,50,61
AEG023_876_2006,18004160,18004500,11400,1055422962,7506110,200,50,61
AEG023_876_2004,18004161,18004505,11405,1055422962,7506110,200,50,61
AEG023_876_2005,18004162,18004510,11410,1055422962,7506110,200,50,61
AEG023_876_2007,18004163,18004515,11415,1055422963,7506110,200,50,61
AEG020_992_2112,18004164,18004520,11420,1055422963,7506110,200,50,61
