attack_id,name,tier,group,selection_reasons,guard_disabled,dodge_bypass,airborne_avoidance,parry_disabled,bullet_ids,behavior_ids,animation_associations,npc_row_count,map_npc_model_count,vanilla_flag_changes,priority_band
21,[AOW] Hoarfrost Stomp Bullet,U,Unapproved screening result,name,0,0,0,0,2268,,,0,0,{},
100202,,U,Unapproved screening result,small-floor-probe,0,0,0,0,100202;100203,100202;100200,c0000:30000@0.333;c0000:30000@0.400;c0000:30000@0.433;c0000:30000@0.467;c0000:30000@0.500;c0000:30000@0.533;c0000:30000@0.567;c0000:30000@0.600;c0000:30000@0.633;c0000:30000@0.667;c0000:30000@0.733;c0000:30000@0.767;c0000:30000@0.867;c0000:41150@0.600,88,572,{},
280000,[SACRED] Lava Damage,U,Unapproved screening result,airborne-avoidance,0,1,1,0,,280000,c0000:30000@0.333;c0000:30000@0.400;c0000:30000@0.433;c0000:30000@0.467;c0000:30000@0.500;c0000:30000@0.533;c0000:30000@0.567;c0000:30000@0.600;c0000:30000@0.633;c0000:30000@0.667;c0000:30000@0.733;c0000:30000@0.767;c0000:30000@0.867;c0000:41150@0.600,88,572,{},
280001,[Torrent] Attack,U,Unapproved screening result,airborne-avoidance,0,1,1,0,,280001,c0000:30000@0.333;c0000:30000@0.400;c0000:30000@0.433;c0000:30000@0.467;c0000:30000@0.500;c0000:30000@0.533;c0000:30000@0.567;c0000:30000@0.600;c0000:30000@0.633;c0000:30000@0.667;c0000:30000@0.733;c0000:30000@0.767;c0000:30000@0.867;c0000:41150@0.600,88,572,{},
280100,,U,Unapproved screening result,airborne-avoidance,0,1,1,0,,280100,c0000:30000@0.333;c0000:30000@0.400;c0000:30000@0.433;c0000:30000@0.467;c0000:30000@0.500;c0000:30000@0.533;c0000:30000@0.567;c0000:30000@0.600;c0000:30000@0.633;c0000:30000@0.667;c0000:30000@0.733;c0000:30000@0.767;c0000:30000@0.867;c0000:41150@0.600,88,572,{},
2010271,[Blaidd the Half-Wolf] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2010271,220100271,,18,13,{},
2010280,[Blaidd the Half-Wolf] Bullet,U,Unapproved screening result,small-short-enemy-bullet,1,0,0,1,2010280,220100280,,18,13,{},
2030110,[Rennala] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2030130,220300130,,4,2,{},
2031155,[Rennala - 2] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2031155;2031156;2031157;2031158,220310155,,4,1,{},
2031180,[Rennala - 2] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2031181;2031182;2031184;2031186,220310180;220310183;220310185,,4,1,{},
2031181,[Rennala - 2] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2031187,220310180;220310183;220310185,,4,1,{},
2040140,[Juvenile Scholar] Bullet - Floating Furniture,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2040143,220400140,,14,7,{},
2041130,[Kindred of Rot Larva] Body Slam,U,Unapproved screening result,name,0,0,0,1,,220410130,,3,3,{},
2100170,[Black Knife Assassin],U,Unapproved screening result,airborne-avoidance,0,0,1,1,,221000170,c2100:3007@1.967,14,10,{},
2100171,[Black Knife Assassin],U,Unapproved screening result,airborne-avoidance,0,0,1,1,,221000171,c2100:3008@0.333,14,10,{},
2100220,[Black Knife Assassin],U,Unapproved screening result,airborne-avoidance,0,0,1,1,,221000220,c2100:3012@1.533,14,10,{},
2110100,[Beast Clergyman] Bullet - Bestial Sling,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2110100;2110101;2110480,221100100;221100101;221100480,c2110:3000@1.867;c2110:3001@1.233;c2110:3002@1.033;c2110:3004@1.667;c2110:3038@0.700,8,3,{},
2110150,[Beast Clergyman] Bullet - Beast Claw,A,Beast Clergyman Beast Claw,small-floor-probe;small-short-enemy-bullet,0,0,0,1,2110152;2110158,221100150;221100155,c2110:3005@2.733;c2110:3006@0.767,8,3,{},P1
2110151,[Beast Clergyman] Bullet - Beast Claw,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2110150;2110151;2110155;2110156;2110250;2110251;2110252;2110253;2110550;2110551;2110552;2110553,221100150;221100155;221100250;221100550,c2110:3005@2.733;c2110:3006@0.767;c2110:3015@2.333,8,3,{},
2110250,[Beast Clergyman] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2110254;2110554,221100250;221100550,c2110:3015@2.333,8,3,{},
